File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 16 (10.64%), 0 (0.00%), 131 (89.33%), 0 (0.00%), 0 (0.00%), 131 (89.34%), 0 (0.01%), 147 (99.99%), 147
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,21.771000,15.606000,0.000000,21.771000,0.350438,0.306634,15.607000,0.488844,0.366633,0.000000,-nan,0.000000,146.628000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,146.628000
attention_column,test1,0.001000,0.001000,0.001000,21.771000,0.000000,0.000000,21.771000,0.175219,0.153317,0.000000,-nan,0.000000,0.000000,-nan,-nan,146.628000
attention_row,test1,0.001000,0.001000,0.001000,21.951000,0.000000,21.771000,21.951000,0.173782,0.152060,0.000000,-nan,0.000000,21.771000,0.175219,0.153317,146.628000
mlp_column,test1,0.001000,0.001000,0.001000,21.771000,0.000000,0.000000,21.771000,0.175219,0.153317,0.000000,-nan,0.000000,0.000000,-nan,0.000000,146.628000
mlp_row,test1,0.001000,0.001000,0.001000,21.951000,0.000000,0.000000,21.951000,0.173782,0.152060,0.000000,-nan,0.000000,0.000000,inf,0.000000,146.628000
SUM,test1,0.006000,0.006000,0.006000,109.215000,15.606000,21.771000,109.215000,NONE,NONE,15.607000,NONE,NONE,21.771000,NONE,NONE
total exposed comm,146.610000,total comp,0.018000,total time,146.628000
