topology,flowsim_before_jct_us,flowsim_after_jct_us,ns3_jct_us,before_abs_error_pct,after_abs_error_pct,wall_seconds,max_rss_kb
ROFT,2124399.237,2118535.799,2118948.317,0.257,0.019,309.97,20968000
Zcube,2156854.173,2118535.799,2119411.632,1.767,0.041,321.73,20964472
DeepSeek,2124399.237,2118535.799,2124044.494,0.017,0.259,310.76,20958540
Meta,2124385.237,2138520.463,2141931.794,0.819,0.159,321.77,20966452
HPN,2124399.237,2151703.171,2151332.432,1.252,0.017,320.52,20968760
RO,2260464.495,2399988.168,2424428.772,6.763,1.008,319.91,20951624
