topology,pre_fix_flowsim_jct_us,post_fix_flowsim_jct_us,ns3_jct_us,flowsim_minus_ns3_us,flowsim_minus_ns3_pct,relative_to_flowsim_best_pct,exposed_comm_us,wall_seconds,max_rss_kb,status
Meta,2135106.000,2124385.237,2141931.794,-17546.557,-0.819193,0.000000,163896.214,409.84,20968712,success
HPN,2135168.000,2124399.237,2151332.432,-26933.195,-1.251931,0.000659,163910.214,465.81,20966760,success
DeepSeek,2135168.000,2124399.237,2124044.494,354.743,0.016701,0.000659,163910.214,398.56,20958072,success
ROFT,2135168.000,2124399.237,2118948.317,5450.920,0.257246,0.000659,163910.214,434.35,20968968,success
Zcube,2244105.000,2156854.173,2119411.632,37442.541,1.766648,1.528392,196365.150,415.57,20970060,success
RO,2135137.000,2260464.495,2424428.772,-163964.277,-6.763007,6.405583,299975.472,447.06,20955548,success
