topology,policy,spray_width,configured_flowlet_gap_ns,configured_flowlet_bytes,configured_flowlet_hysteresis_ns,workload,topology_file,binary,threads,send_latency,status,return_code,jct,wall_seconds,run_dir,width,fabric_legs,sprayed_legs,subflows,fabric_bytes,pending_contexts,pending_send_callbacks,pending_recv_callbacks,physical_qps,logical_flows,physical_fct_p50_ns,physical_fct_p95_ns,physical_fct_p99_ns,logical_fct_p50_ns,logical_fct_p95_ns,logical_fct_p99_ns,logical_fct_max_ns,subflow_records,route_qps,route_rows,fabric_logical_flows,mean_unique_paths_per_flow,mean_path_spread,mean_path_coverage,hash_collision_ratio,avoidable_collision_ratio,dynamic_qp_bindings,dynamic_bind_queue_p50,dynamic_bind_queue_p95,dynamic_bind_queue_max,dynamic_bind_zero_queue_ratio,path_aware_qp_bindings,path_score_p50_ns,path_score_p95_ns,path_queue_delay_p95_ns,path_reserved_bytes_p95,path_hops_mean,flowlet_binding_count,flowlet_route_decisions,flowlet_route_switches,link_count,link_bytes_mean,link_bytes_p95,link_bytes_max,link_max_mean_ratio,link_bytes_cov,flowlet_decisions,flowlet_switches,flowlet_gap_triggers,flowlet_byte_triggers,flowlet_link_triggers,flowlet_gap_ns,flowlet_max_bytes,flowlet_hysteresis_ns,source_flowlet_decisions,source_flowlet_switches
Zcube,spray_dynamic,4,5000,0,500,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/my_workloads/synthetic_alltoall_ep_world_size256_tp2_ep16_1MiB.txt,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/mytopo/Zcube_n16_k2_256g_8gps_200Gbps_H100,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/astra-sim-alibabacloud/extern/network_backend/ns3-interface/simulation/build/scratch/ns3.36.1-AstraSimNetwork-debug,1,3,success,0,35.028,16.008,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/experiments/ns3_spray/flowlet_iter2_ep16_1MiB_inherit_compare/Zcube/spray_dynamic,4,3072,3072,12288,201326592,0,0,0,13056,3840,24008.0,33500.0,34948.0,26303.0,34161.299999999996,34999.79000000001,36280,13056,13056,33280,3072,1.380859375,0.34521484375,0.8987630208333334,1.0,0.20247395833333334,7168,147456.0,360448.0,376832.0,0.062220982142857144,0,,,,,,0,0,0,1976,315333.95951417,560592.0,725472.0,2.3006465942257632,0.4403327270926007,,,,,,,,,,
Zcube,spray_flowlet,4,5000,0,500,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/my_workloads/synthetic_alltoall_ep_world_size256_tp2_ep16_1MiB.txt,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/mytopo/Zcube_n16_k2_256g_8gps_200Gbps_H100,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/astra-sim-alibabacloud/extern/network_backend/ns3-interface/simulation/build/scratch/ns3.36.1-AstraSimNetwork-debug,1,3,success,0,34.41,16.006,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/experiments/ns3_spray/flowlet_iter2_ep16_1MiB_inherit_compare/Zcube/spray_flowlet,4,3072,3072,12288,201326592,0,0,0,13056,3840,22995.5,32259.25,33463.0,24931.0,32656.1,33681.680000000015,34718,13056,13056,35536,3072,1.5706380208333333,0.3926595052083333,0.99365234375,1.0,0.12532552083333334,7920,98304.0,344064.0,376832.0,0.19242424242424241,0,,,,,,1888,1888,752,2045,305475.47383863083,536668.0,725472.0,2.3748944256756754,0.45876567887693415,1888,752,1888,0,0,5000,0,500,1888,752
