policy,topology,fct_us,cdf
spray_dual_table,Zcube,1132.742,0.020413306451612902
spray_dual_table,Zcube,1132.742,0.020618069556451613
spray_dual_table,Zcube,1132.742,0.020822832661290324
spray_dual_table,Zcube,1132.742,0.021011844758064516
spray_dual_table,Zcube,1132.742,0.021216607862903226
spray_dual_table,Zcube,1132.742,0.021421370967741934
spray_dual_table,Zcube,1132.742,0.021626134072580645
spray_dual_table,Zcube,1132.742,0.02181514616935484
spray_dual_table,Zcube,1132.742,0.022019909274193547
spray_dual_table,Zcube,1132.742,0.022224672379032258
spray_dual_table,Zcube,1132.742,0.022413684475806453
spray_dual_table,Zcube,1132.742,0.02261844758064516
spray_dual_table,Zcube,1132.742,0.02282321068548387
spray_dual_table,Zcube,1132.742,0.023012222782258066
spray_dual_table,Zcube,1132.742,0.023216985887096774
spray_dual_table,Zcube,1132.742,0.023421748991935484
spray_dual_table,Zcube,1132.742,0.023626512096774195
spray_dual_table,Zcube,1132.742,0.023815524193548387
spray_dual_table,Zcube,1132.742,0.024020287298387098
spray_dual_table,Zcube,1132.742,0.024225050403225805
spray_dual_table,Zcube,1132.742,0.0244140625
spray_dual_table,Zcube,1132.742,0.02461882560483871
spray_dual_table,Zcube,1132.742,0.024823588709677418
spray_dual_table,Zcube,1132.742,0.025012600806451613
spray_dual_table,Zcube,1132.742,0.025217363911290324
spray_dual_table,Zcube,1132.742,0.02542212701612903
spray_dual_table,Zcube,1132.742,0.025626890120967742
spray_dual_table,Zcube,1132.742,0.025815902217741934
spray_dual_table,Zcube,1132.742,0.026020665322580645
spray_dual_table,Zcube,1132.742,0.026225428427419355
spray_dual_table,Zcube,1132.742,0.026414440524193547
spray_dual_table,Zcube,1132.742,0.026619203629032258
spray_dual_table,Zcube,1132.742,0.02682396673387097
spray_dual_table,Zcube,1132.742,0.02701297883064516
spray_dual_table,Zcube,1132.742,0.02721774193548387
spray_dual_table,Zcube,1132.742,0.027422505040322582
spray_dual_table,Zcube,1132.742,0.02762726814516129
spray_dual_table,Zcube,1132.742,0.027816280241935484
spray_dual_table,Zcube,1132.742,0.028021043346774195
spray_dual_table,Zcube,1132.742,0.028225806451612902
spray_dual_table,Zcube,1132.742,0.028414818548387098
spray_dual_table,Zcube,1132.742,0.028619581653225805
spray_dual_table,Zcube,1132.742,0.028824344758064516
spray_dual_table,Zcube,1132.742,0.02901335685483871
spray_dual_table,Zcube,1132.742,0.029218119959677418
spray_dual_table,Zcube,1132.742,0.02942288306451613
spray_dual_table,Zcube,1132.742,0.02962764616935484
spray_dual_table,Zcube,1132.742,0.02981665826612903
spray_dual_table,Zcube,1132.742,0.030021421370967742
spray_dual_table,Zcube,1132.742,0.030226184475806453
spray_dual_table,Zcube,1132.742,0.030415196572580645
spray_dual_table,Zcube,1132.742,0.030619959677419355
spray_dual_table,Zcube,1132.742,0.030824722782258066
spray_dual_table,Zcube,1132.742,0.031013734879032258
spray_dual_table,Zcube,1132.742,0.03121849798387097
spray_dual_table,Zcube,1132.742,0.03142326108870968
spray_dual_table,Zcube,1132.742,0.03162802419354839
spray_dual_table,Zcube,1132.742,0.03181703629032258
spray_dual_table,Zcube,1132.742,0.03202179939516129
spray_dual_table,Zcube,1132.742,0.0322265625
spray_dual_table,Zcube,1132.742,0.032415574596774195
spray_dual_table,Zcube,1132.742,0.032620337701612906
spray_dual_table,Zcube,1132.742,0.03282510080645161
spray_dual_table,Zcube,1132.742,0.033014112903225805
