topology,policy,spray_width,configured_flowlet_gap_ns,configured_flowlet_bytes,configured_flowlet_hysteresis_ns,workload,topology_file,binary,threads,send_latency,status,return_code,jct,wall_seconds,run_dir
Zcube,spray_adaptive,4,5000,0,500,/tmp/zcube_adaptive_64m_probe.txt,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/mytopo/Zcube_n16_k2_256g_8gps_200Gbps_H100,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/astra-sim-alibabacloud/extern/network_backend/ns3-interface/simulation/build/scratch/ns3.36.1-AstraSimNetwork,8,3,failed,-11,missing,4.002,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/experiments/ns3_spray/adaptive_64m_release_20260716/Zcube/spray_adaptive
DeepSeek,spray_adaptive,4,5000,0,500,/tmp/zcube_adaptive_64m_probe.txt,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/mytopo/DeepSeek_256g_8gps_p16a0.5_400Gbps_H800,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/astra-sim-alibabacloud/extern/network_backend/ns3-interface/simulation/build/scratch/ns3.36.1-AstraSimNetwork,8,3,failed,-11,missing,5.002,/home/zty/Topo/SimAI_TyKuro9_spray_algo_iter2/experiments/ns3_spray/adaptive_64m_release_20260716/DeepSeek/spray_adaptive
